iso-639-3	name	value	description	latitude	longitude	family
agr	Aguaruna	?	Not known	-5.30044	-77.92179	Chicham
apy	Apalaí	?	Not known	1.49792	-54.7457	Cariban
apu	Apurinã	?	Not known	-8.21692	-66.77141	Arawakan
arh	Arhuaco	?	Not known	10.70184	-73.63629	Chibchan
kwi	Awa-Cuaiquer	?	Not known	1.216525	-78.340135	Barbacoan
awe	Awetí	?	Not known	-12.93358	-53.58519	Tupian
quy	Ayacucho Quechua	1	true	-13.84714	-74.32246	Quechuan
brg	Baure	?	Not known	-13.12775	-64.18381	Arawakan
boa	Bora	?	Not known	-2.91467	-68.90929	Boran
bor	Bororo	?	Not known	-16.60295	-55.20043	Bororoan
qvc	Cajamarca Quechua	1	true	-7.09314	-78.32141	Quechuan
caw	Callawalla	?	Not known	-15.88451	-68.10176	Mixed Language
ram	Canela	0	false	-6.10712	-45.1299	Nuclear-Macro-Je
cav	Cavineña	?	Not known	-13.35441	-66.62773	Pano-Tacanan
ayr	Central Aymara	?	Not known	-17.0	-68.5	Aymaran
cbg	Chimila	?	Not known	10.19016	-74.25585	Chibchan
cap	Chipaya	1	true	-18.73951	-67.89633	Uru-Chipaya
cht	Cholón	?	Not known	-9.23129	-75.96211	Hibito-Cholon
cod	Cocama-Cocamilla	1	true	-4.5	-74.0	Tupian
cub	Cubeo	?	Not known	1.32382	-70.193935	Tucanoan
quz	Cusco Quechua	1	true	-14.08527	-71.76625	Quechuan
des	Desano	?	Not known	0.58157	-69.495545	Tucanoan
kwa	Dâw	0	false	-0.1177	-67.29341	Nadahup
eme	Emerillon	?	Not known	3.23694	-52.36986	Tupian
gvo	Gavião Do Jiparaná	?	Not known	-10.7235	-61.67521	Tupian
gta	Guató	?	Not known	-17.86961	-57.28974	Guato
hix	Hixkaryána	1	true	-0.16265	-58.80153	Cariban
qub	Huallaga Huánuco Quechua	?	Not known	-9.57135	-75.59401	Quechuan
qux	Huangascar-Topara-Yauyos Quechua	1	true	-13.11443	-75.76589	Quechuan
qwh	Huaylas Ancash Quechua	0	false	-9.38709	-77.77681	Quechuan
jup	Hupdë	?	Not known	0.58622	-69.835915	Nadahup
txi	Ikpeng	1	true	-11.37822	-53.49553	Cariban
qvi	Imbabura Highland Quichua	1	true	0.31776	-78.37286	Quechuan
inb	Inga	?	Not known	1.00313	-76.86062	Quechuan
ito	Itonama	N/A	Not Applicable	-12.80431	-64.35748	Itonama
jaa	Jamamadí	?	Not known	-7.62223	-66.56619	Arawan
jqr	Jaqaru	?	Not known	-12.88233	-75.89576	Aymaran
qxw	Jauja Wanca Quechua	1	true	-11.67473	-75.2786	Quechuan
jur	Jurúna	?	Not known	-10.93541	-53.34717	Tupian
kay	Kamayurá	N/A	Not Applicable	-12.26606	-53.46514	Tupian
kxo	Kanoê	?	Not known	-12.17894	-64.58121	Kanoe
ktn	Karitiâna	0	false	-9.37937	-64.15219	Tupian
